employee_id,name,subsidiary,division,department,role,level,fte,manager_id,performance_score,engagement_score,market_pull,key_person_dependency,attrition_risk,tenure_years,salary_grade
E0001,Hoàng Ngọc Chi,Genesis Human Resources Services,Corporate,Procurement,Procurement Staff,Staff,1,E0933,99.0,63.1,53,62,42.5,4.6,G9
E0002,Phạm Đức Tâm,Genesis Fund & Innovation,Commercial,Marketing,Marketing Specialist,Specialist,1,E0210,85.3,71.0,67,96,47.1,6.3,G9
E0003,Trần Minh Phúc,Genesis Fund & Innovation,Executive,Transformation Office,Transformation Office Staff,Staff,1,E0765,80.8,78.3,37,33,25.6,9.1,G4
E0004,Vũ Gia Tuấn,Genesis Fund & Innovation,Manufacturing,Production,Production Specialist,Specialist,1,E0464,65.6,71.0,26,66,38.5,0.9,G6
E0005,Bùi Thị Hà,Genesis Human Resources Services,Technology,IT,IT Specialist,Specialist,1,E0150,81.3,44.2,60,64,59.4,7.3,G5
E0006,Lê Thu Phúc,Genesis Holding Office,Commercial,Sales,Sales Specialist,Specialist,1,E0721,82.4,69.8,53,75,39.2,0.6,G9
E0007,Đặng Ngọc Quân,Genesis Human Resources Services,Technology,Data & AI,Data & AI Specialist,Specialist,1,E0771,75.1,70.1,60,95,49.5,5.1,G4
E0008,Trần Ngọc Tuấn,Genesis Social Responsibility Platform,CSR,Sustainability,Sustainability Staff,Staff,1,E0050,72.0,69.0,42,44,34.0,3.3,G9
E0009,Trần Đức Sơn,Genesis Green Manufacturing,Technology,Data & AI,Data & AI Senior Specialist,Senior Specialist,1,E0272,71.8,86.5,45,68,38.4,1.0,G7
E0010,Hoàng Đức Mai,Genesis Green Manufacturing,Manufacturing,Maintenance,Maintenance Supervisor,Supervisor,1,CEO,72.8,99.0,21,14,9.4,4.8,G7
E0011,Nguyễn Minh An,Genesis Social Responsibility Platform,Corporate,Finance,Finance Staff,Staff,1,E0291,79.2,71.0,57,16,26.7,9.2,G5
E0012,Đỗ Thị Trang,Genesis Fund & Innovation,Manufacturing,EHS,EHS Senior Specialist,Senior Specialist,1,E0343,80.0,74.9,22,93,34.7,1.9,G7
E0013,Nguyễn Văn Linh,Genesis Holding Office,Manufacturing,Production,Production Senior Specialist,Senior Specialist,1,E0235,82.1,56.8,72,72,53.0,5.2,G10
E0014,Phạm Ngọc Tâm,Genesis Human Resources Services,Commercial,Customer Success,Customer Success Specialist,Specialist,1,E0121,66.8,95.9,46,58,23.7,0.3,G7
E0015,Nguyễn Ngọc Trang,Genesis Fund & Innovation,Technology,Data & AI,Data & AI Staff,Staff,1,E0106,61.0,80.7,45,36,24.7,2.4,G4
E0016,Hoàng Ngọc Linh,Genesis Fund & Innovation,Technology,Data & AI,Data & AI Specialist,Specialist,1,E0270,65.2,65.1,88,62,54.9,6.8,G6
E0017,Bùi Thu Linh,Genesis Human Resources Services,Technology,Data & AI,Data & AI Staff,Staff,1,E0938,85.6,80.5,79,50,38.2,2.0,G9
E0018,Đỗ Thu Tâm,Genesis Social Responsibility Platform,Manufacturing,Production,Production Staff,Staff,1,E0813,72.5,77.9,25,47,27.9,3.2,G3
E0019,Phạm Văn Mai,Genesis Holding Office,Manufacturing,Production,Production Specialist,Specialist,1,E0464,82.6,70.0,71,68,52.0,2.4,G8
E0020,Trần Ngọc Chi,Genesis Social Responsibility Platform,Manufacturing,Production,Production Staff,Staff,1,E0299,60.6,70.6,51,12,20.5,4.5,G6
E0021,Phạm Ngọc Trang,Genesis Human Resources Services,Technology,Data & AI,Data & AI Staff,Staff,1,E0356,92.6,50.5,84,28,52.2,4.4,G10
E0022,Hồ Ngọc Phúc,Genesis Social Responsibility Platform,Executive,Transformation Office,Transformation Office Manager,Manager,1,CEO,81.0,75.7,20,63,32.0,3.7,G10
E0023,Vũ Minh Minh,Genesis Social Responsibility Platform,Executive,Transformation Office,Transformation Office Staff,Staff,1,E0854,88.3,89.2,34,17,18.0,2.3,G2
E0024,Đặng Thu Dũng,Genesis Holding Office,Manufacturing,Production,Production Staff,Staff,1,E0670,76.8,54.6,58,11,33.3,2.2,G3
E0025,Lê Gia Hà,Genesis Human Resources Services,Executive,CEO Office,CEO Office Senior Specialist,Senior Specialist,1,E0784,87.0,67.2,51,82,44.4,6.6,G8
E0026,Đỗ Gia Bình,Genesis Green Manufacturing,Technology,IT,IT Senior Specialist,Senior Specialist,1,E0939,88.0,80.3,67,90,50.4,3.1,G3
E0027,Phạm Minh Hà,Genesis Holding Office,Manufacturing,Supply Chain,Supply Chain Senior Manager,Senior Manager,1,CEO,75.8,69.9,51,66,39.1,8.1,G2
E0028,Vũ Thu Linh,Genesis Human Resources Services,Manufacturing,Production,Production Specialist,Specialist,1,E0907,89.0,87.6,42,84,29.9,1.0,G8
E0029,Hồ Thị Tuấn,Genesis Social Responsibility Platform,Manufacturing,Production,Production Senior Specialist,Senior Specialist,1,E0388,73.8,89.0,25,83,24.0,1.5,G10
E0030,Hồ Thị Tâm,Genesis Fund & Innovation,Commercial,Sales,Sales Staff,Staff,1,E0184,58.6,72.4,82,54,37.9,1.9,G3
E0031,Lê Ngọc Dũng,Genesis Human Resources Services,Manufacturing,Production,Production Staff,Staff,1,E0698,60.6,90.6,61,43,24.9,5.7,G9
E0032,Hồ Đức Hà,Genesis Social Responsibility Platform,Manufacturing,Production,Production Staff,Staff,1,E0670,68.7,78.3,35,22,26.3,2.2,G9
E0033,Lê Minh Chi,Genesis Social Responsibility Platform,Manufacturing,Quality,Quality Senior Specialist,Senior Specialist,1,E0745,81.9,76.2,38,72,35.9,1.3,G10
E0034,Trần Gia Tâm,Genesis Fund & Innovation,Technology,Automation,Automation Supervisor,Supervisor,1,CEO,90.2,54.9,63,65,54.0,0.3,G2
E0035,Phạm Gia Mai,Genesis Social Responsibility Platform,Manufacturing,Maintenance,Maintenance Manager,Manager,1,CEO,76.6,99.0,63,77,26.3,2.3,G8
E0036,Đỗ Ngọc Thảo,Genesis Fund & Innovation,Manufacturing,Supply Chain,Supply Chain Supervisor,Supervisor,1,CEO,83.2,58.3,64,58,49.2,5.5,G9
E0037,Phạm Gia Chi,Genesis Holding Office,Corporate,HR,HR Staff,Staff,1,E0611,79.4,71.5,73,15,38.0,8.3,G4
E0038,Phạm Văn An,Genesis Fund & Innovation,Corporate,HR,HR Specialist,Specialist,1,E0611,89.1,82.1,34,97,30.4,1.4,G3
E0039,Đỗ Thị Thảo,Genesis Green Manufacturing,Technology,IT,IT Specialist,Specialist,1,E0414,92.7,67.6,81,81,55.7,6.5,G2
E0040,Phạm Minh Mai,Genesis Holding Office,Manufacturing,Supply Chain,Supply Chain Staff,Staff,1,E0318,95.2,52.5,34,20,26.2,14.0,G7
E0041,Nguyễn Ngọc Thảo,Genesis Holding Office,Corporate,HR,HR Specialist,Specialist,1,E0631,80.2,73.9,45,93,49.9,2.1,G10
E0042,Trần Đức Minh,Genesis Human Resources Services,Commercial,Sales,Sales Specialist,Specialist,1,E0721,75.4,75.5,64,70,40.6,3.7,G9
E0043,Hoàng Văn Quân,Genesis Green Manufacturing,CSR,Sustainability,Sustainability Manager,Manager,1,CEO,82.5,70.8,74,83,42.8,1.0,G7
E0044,Đỗ Ngọc Hà,Genesis Human Resources Services,Technology,Data & AI,Data & AI Staff,Staff,1,E0270,89.4,67.9,55,18,29.5,5.3,G4
E0045,Đặng Ngọc Tuấn,Genesis Human Resources Services,Manufacturing,Production,Production Staff,Staff,1,E0705,70.8,91.3,67,25,25.8,2.9,G5
E0046,Phạm Gia Trang,Genesis Holding Office,Corporate,Finance,Finance Specialist,Specialist,1,E0619,82.5,97.4,78,64,35.8,2.8,G9
E0047,Đỗ Thu Chi,Genesis Fund & Innovation,Manufacturing,Production,Production Staff,Staff,1,E0751,73.5,78.4,71,38,37.5,9.7,G4
E0048,Trần Gia Minh,Genesis Green Manufacturing,Manufacturing,Supply Chain,Supply Chain Specialist,Specialist,1,E0831,63.3,99.0,62,88,29.3,3.5,G3
E0049,Đặng Thu Quân,Genesis Human Resources Services,Manufacturing,Maintenance,Maintenance Specialist,Specialist,1,E0688,79.4,77.3,33,64,31.1,2.2,G2
E0050,Đặng Thị Chi,Genesis Human Resources Services,CSR,Sustainability,Sustainability Manager,Manager,1,CEO,88.8,63.3,50,92,52.4,3.8,G9
E0051,Đỗ Gia Chi,Genesis Green Manufacturing,Manufacturing,Supply Chain,Supply Chain Senior Manager,Senior Manager,1,CEO,59.3,51.3,56,84,50.3,2.2,G2
E0052,Đỗ Thu Việt,Genesis Human Resources Services,Commercial,Customer Success,Customer Success Staff,Staff,1,E0121,64.4,67.4,54,57,40.5,11.2,G2
E0053,Đặng Thu Việt,Genesis Holding Office,Manufacturing,Quality,Quality Senior Specialist,Senior Specialist,1,E0622,74.0,51.2,74,56,45.9,4.6,G2
E0054,Phạm Minh Mai,Genesis Fund & Innovation,Technology,IT,IT Specialist,Specialist,1,E0414,80.1,87.1,88,78,50.7,1.4,G7
E0055,Vũ Thị Long,Genesis Human Resources Services,Corporate,Finance,Finance Staff,Staff,1,E0827,91.1,68.1,80,45,38.3,8.3,G3
E0056,Hồ Ngọc Trang,Genesis Green Manufacturing,Corporate,Finance,Finance Staff,Staff,1,E0244,59.9,68.9,79,25,30.8,5.4,G9
E0057,Đỗ Gia Thảo,Genesis Green Manufacturing,Corporate,HR,HR Manager,Manager,1,CEO,80.7,99.0,71,68,40.2,2.3,G2
E0058,Lê Thị Dũng,Genesis Green Manufacturing,Corporate,HR,HR Specialist,Specialist,1,E0631,93.0,65.5,42,73,35.2,2.6,G7
E0059,Hồ Thu Sơn,Genesis Holding Office,Commercial,Sales,Sales Specialist,Specialist,1,E0089,64.0,69.9,59,59,36.1,2.2,G7
E0060,Vũ Ngọc Thảo,Genesis Social Responsibility Platform,Corporate,Finance,Finance Staff,Staff,1,E0271,71.3,62.4,55,54,35.5,2.9,G4
E0061,Bùi Đức Tuấn,Genesis Holding Office,Manufacturing,Quality,Quality Specialist,Specialist,1,E0589,60.6,71.2,59,67,41.0,2.7,G3
E0062,Phạm Thị Quân,Genesis Green Manufacturing,Corporate,HR,HR Manager,Manager,1,CEO,67.2,96.5,27,58,19.1,6.9,G8
E0063,Hoàng Văn Hà,Genesis Holding Office,Manufacturing,Production,Production Staff,Staff,1,E0927,71.9,72.7,59,41,30.8,1.4,G3
E0064,Lê Ngọc Phúc,Genesis Holding Office,CSR,Sustainability,Sustainability Specialist,Specialist,1,E0901,95.7,78.6,73,74,37.7,3.1,G6
E0065,Lê Đức Dũng,Genesis Social Responsibility Platform,Executive,Strategy,Strategy Supervisor,Supervisor,1,CEO,74.5,72.4,41,28,27.3,13.4,G4
E0066,Trần Thu Linh,Genesis Social Responsibility Platform,Executive,Transformation Office,Transformation Office Senior Specialist,Senior Specialist,1,E0765,70.9,68.7,58,92,47.3,15.5,G6
E0067,Vũ Minh Tâm,Genesis Human Resources Services,Manufacturing,Production,Production Staff,Staff,1,E0863,80.0,76.8,65,31,34.6,1.5,G5
E0068,Bùi Văn Mai,Genesis Human Resources Services,Corporate,Finance,Finance Supervisor,Supervisor,1,CEO,66.8,62.6,88,24,49.1,6.9,G7
E0069,Lê Thị Yến,Genesis Fund & Innovation,Technology,Data & AI,Data & AI Supervisor,Supervisor,1,CEO,81.7,75.7,78,53,35.0,7.3,G4
E0070,Vũ Thu Phúc,Genesis Human Resources Services,Corporate,HR,HR Staff,Staff,1,E0848,59.3,86.4,64,13,24.2,6.7,G4
E0071,Hồ Đức Việt,Genesis Fund & Innovation,Manufacturing,Maintenance,Maintenance Staff,Staff,1,E0374,86.0,63.3,29,33,34.2,6.9,G10
E0072,Đặng Đức Dũng,Genesis Fund & Innovation,Manufacturing,Production,Production Supervisor,Supervisor,1,CEO,65.5,85.0,45,49,35.8,6.6,G3
E0073,Nguyễn Văn Mai,Genesis Green Manufacturing,Technology,Data & AI,Data & AI Manager,Manager,1,CEO,77.8,99.0,52,63,32.0,2.2,G10
E0074,Vũ Gia Dũng,Genesis Fund & Innovation,Technology,IT,IT Manager,Manager,1,CEO,82.8,77.6,93,94,53.4,3.1,G3
